Código;enunciado;alternativas;disciplina;topico;topico_id;score_similaridade;metodo_classificacao;confianca
TJAP22-23;Em um procedimento litigioso de separação judicial, em que as partes, não havendo nascituros ou filhos, após saneado o feito, manifestam ao juiz a pretensão de convolar o processo para divórcio consensual, é correto afirmar que:;"(A) não é possível a alteração objetiva da demanda, uma vez operado o saneamento do processo; | (B) não é possível a alteração objetiva da demanda, uma vez já estabilizada com a citação; | (C) é possível a alteração subjetiva da demanda, uma vez que não há impedimento temporal na lei; | (D) é possível a alteração da demanda, uma vez que as partes estão impedidas de obter escritura pública para o divórcio; | (E) é possível a alteração da demanda, uma vez que, no caso, o juiz não é obrigado a observar critério de legalidade estrita. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 8";DIREITO PROCESSUAL CIVIL;"Petição inicial. Requisitos e controle de admissibilidade. Pedido. Pedido (alteração, aditamento e cumulação); pedidos alternativo, sucessivo e subsidiário. Interpretação dos atos postulatórios. Audiência de conciliação ou mediação. Resposta do réu (contestação, reconvenção, exceções). Providências preliminares e julgamento conforme o estado do processo. Saneamento e organização do processo. Eficiência processual. Gestão do procedimento pelo juiz.";1;0.63;groq;alta
TJAP22-24;No curso do procedimento, o réu reconheceu a procedência do pedido de ressarcimento do dano material, que foi julgado procedente por meio de uma decisão interlocutória, que não foi objeto de recurso. Todavia, contestou o pedido de reparação de dano moral, uma vez que entendeu ser este inexistente. Após o regular prosseguimento do feito, sobreveio sentença, em que foi julgado procedente in totum o pedido de reparação do dano moral. Nesse cenário, pretendendo o réu recorrer dessa sentença, é correto afirmar que:;"(A) cabe apelação para rediscutir integralmente a lide, uma vez que a decisão interlocutória proferida no curso do processo não é coberta pela preclusão; | (B) cabe agravo de instrumento quanto à condenação em dano material e apelação quanto ao pedido de dano moral, que devem ser interpostos simultaneamente; | (C) há coisa julgada em relação ao pedido de ressarcimento de dano material, cabendo apenas apelação quanto à condenação em dano moral; | (D) o julgador incidiu em error in procedendo, uma vez que as questões de mérito devem ser decididas simultaneamente na sentença, que deve ser única; | (E) cabe agravo de instrumento quanto às duas manifestações judiciais, uma vez que este é a espécie recursal das decisões que versarem sobre o mérito do processo.";DIREITO PROCESSUAL CIVIL;Recursos em espécie (apelação, agravo de instrumento, embargos de declaração, agravo interno, recurso ordinário constitucional, recurso extraordinário, recurso especial). Prazos e procedimentos recursais, pressupostos específicos, modos de interposição, peculiaridades específicas. Ordem dos processos nos tribunais. Julgamento estendido em caso de divergência.;1;0.67;groq;alta
TJAP22-25;Em uma demanda entre particulares na qual se discute a metragem de um imóvel para fins de acertamento de um direito, as partes somente protestaram por provas orais. O juiz, de ofício, determinou a produção de prova pericial e documental, para exercer seu juízo de mérito sobre a causa. Nesse cenário, pode-se afirmar que o julgador agiu de forma:;"(A) correta, uma vez que cabe ao juiz, de ofício ou a requerimento da parte, determinar as provas necessárias ao julgamento do mérito; | (B) incorreta, uma vez que viola o princípio da inércia, já que cabe às partes a iniciativa da produção probatória de seus direitos; | (C) incorreta, uma vez que o julgamento deve ser feito de acordo com as provas produzidas nos autos, não se admitindo ao juiz determinar as provas; | (D) correta, pois só cabe ao julgador verificar a quem ele deve atribuir o ônus da prova, não sendo mais ônus do autor a prova do seu direito; | (E) incorreta, uma vez que cabe ao réu a prova de que a afirmativa do autor sobre a metragem do imóvel não representa a veracidade dos fatos.";DIREITO PROCESSUAL CIVIL;Fase instrutória: conceito e características. Provas: objeto, fonte e meios. Provas atípicas e convencionadas. Normas fundamentais do Direito probatório. Proibição de prova ilícita. Ônus da prova. Estândares probatórios. Provas em espécie e sua produção. Produção antecipada de prova. Audiência de instrução e julgamento.;2;0.55;groq;alta
TJAP22-26;Em uma demanda judicial proposta por um único autor em face de dois réus, em litisconsórcio passivo comum, apenas um deles ofereceu contestação, não obstante ter o revel constituído procurador distinto e de outro escritório de advocacia. Tratando-se de autos eletrônicos, e sabendo-se que o juízo julgou procedente o pedido, é correto afirmar que:;"(A) será contado em dobro o prazo para que qualquer um dos litisconsortes ofereça o recurso de apelação; | (B) não será admissível a apelação do réu revel, uma vez que a revelia gerou presunção de certeza do direito do autor; | (C) o prazo para o réu contestante oferecer o recurso de apelação não será contado em dobro; | (D) o prazo para o réu contestante recorrer será contado em dobro, e para o réu revel será contado de forma simples; | (E) o prazo para o autor recorrer será contado em dobro, caso entenda existir interesse recursal.";DIREITO PROCESSUAL CIVIL;Recursos em espécie (apelação, agravo de instrumento, embargos de declaração, agravo interno, recurso ordinário constitucional, recurso extraordinário, recurso especial). Prazos e procedimentos recursais, pressupostos específicos, modos de interposição, peculiaridades específicas. Ordem dos processos nos tribunais. Julgamento estendido em caso de divergência.;2;0.60;groq;alta
TJAP22-27;Rafael possui três notas promissórias vencidas, nas quais Victor figura como devedor. Não obstante se tratar de dívidas distintas, o credor resolve demandar, em um único processo, a execução autônoma desses títulos em face do referido devedor, uma vez que consubstanciam obrigações certas, líquidas e exigíveis. Ao receber essa inicial, percebendo que o juízo é competente para tais cobranças, e que todas buscam o mesmo tipo de obrigação, agirá corretamente o juiz se:;"(A) determinar que o credor emende a inicial, indicando qual título pretende demandar, devendo os outros virem por via própria, uma vez que essa cumulação é inadmissível na execução; | (B) admitir a cumulação objetiva dessas execuções, pois, pelo princípio da economia processual, permite-se que o credor se utilize de um mesmo processo para execução desses títulos; | (C) inadmitir a inicial, uma vez que há necessidade de prévio processo de conhecimento para obter o necessário título executivo judicial, com o qual poderia posteriormente demandar a execução; | (D) intimar o devedor, para que manifeste sua concordância com a cumulação de execuções pretendida, sob pena do indeferimento da inicial, em caso de recusa do devedor; | (E) julgar, desde logo, procedentes os pedidos, uma vez que os referidos títulos executivos extrajudiciais consubstanciam obrigações certas, líquidas e exigíveis. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 9";DIREITO PROCESSUAL CIVIL;Execução de títulos extrajudiciais. Execução por quantia certa contra devedor solvente. Execução de obrigação de fazer, não-fazer e entrega de coisa. Execução fiscal. Execução contra a Fazenda Pública.;1;0.64;groq;alta
TJAP22-28;Publicada sentença em que houve sucumbência recíproca, pois os pedidos de ressarcimento de dano material e reparação pelo dano moral foram parcialmente concedidos, ambas as partes apelaram de forma independente. O recurso da parte autora pretendia apenas a majoração da condenação fixada pelo juiz pelo dano material. Todavia, após ser surpreendido com o recurso da parte ré, que pretendia unicamente a redução da condenação fixada pelo dano moral, o autor interpõe, no prazo das contrarrazões, apelação pela via adesiva, buscando agora a integralidade também da verba pretendida a título de dano moral, que não fora objeto do recurso anterior. Nesse cenário, esse recurso adesivo:;"(A) deve ser admitido, pois a apelação interposta pela via independente foi parcial, não abrangendo a parte da sentença que se referia ao dano moral; | (B) não deve ser admitido, pois o recurso interposto pela via adesiva demandaria o prévio consentimento da parte contrária; | (C) deve ser admitido, uma vez que o autor foi intimado da apelação do réu após já ter interposto sua apelação pela via independente; | (D) não deve ser admitido, por não ser cabível em sede de recurso de apelação; | (E) não deve ser admitido, pois houve preclusão consumativa, uma vez que o recurso adesivo não serve para complementação de recurso já interposto.";DIREITO PROCESSUAL CIVIL;Recursos em espécie (apelação, agravo de instrumento, embargos de declaração, agravo interno, recurso ordinário constitucional, recurso extraordinário, recurso especial). Prazos e procedimentos recursais, pressupostos específicos, modos de interposição, peculiaridades específicas. Ordem dos processos nos tribunais. Julgamento estendido em caso de divergência.;2;0.58;groq;alta
TJAP22-29;João, pretendendo aviventar a linha divisória entre o terreno de sua propriedade e o de seu confinante José, uma vez que esta foi apagada por causa de uma enchente, propôs ação de demarcação de terras, cujo procedimento é bifásico, com o objetivo de restaurar a linha original entre os imóveis. Caso o julgador entenda que assiste razão ao requerente, agirá corretamente se prolatar:;"(A) sentença de procedência, sujeita ao recurso de apelação. Após, com o trânsito em julgado, se inicia a segunda fase do procedimento, que também se encerra com uma sentença; | (B) decisão interlocutória, sujeita ao recurso de agravo de instrumento. Após, se inicia a segunda fase do procedimento, que se encerra com a prolação de uma sentença; | (C) sentença de procedência, irrecorrível. Com o trânsito em julgado, se inicia a segunda fase do procedimento, que se encerra com o cumprimento da sentença originária; | (D) sentença homologatória de demarcação, em face da qual caberá apelação. Após, o procedimento segue com prolação de sentença executiva, que será levada a registro; | (E) decisão interlocutória, da qual não desafia agravo de instrumento. Após, segue a segunda fase do procedimento, que se encerra por sentença, da qual caberá apelação. Direito do Consumidor";DIREITO PROCESSUAL CIVIL;Recursos em espécie (apelação, agravo de instrumento, embargos de declaração, agravo interno, recurso ordinário constitucional, recurso extraordinário, recurso especial). Prazos e procedimentos recursais, pressupostos específicos, modos de interposição, peculiaridades específicas.;4;0.60;groq;alta
TJAP22-30;Romeu comprou uma churrasqueira inox com acendimento elétrico que incluía sistema de rotação automática e contínua dos espetos (modelo 150), conforme visto no mostruário. No dia seguinte, a mercadoria foi entregue e Romeu verificou se havia alguma avaria, testou o acendimento elétrico e guardou-a em seguida, uma vez que sua residência estava em obras. Quatro meses depois, realizou uma festa para inaugurar a casa reformada, momento em que atentou para o fato de que o produto foi entregue com configuração diferente (modelo 100), uma vez que não possuía o recurso de rotação automática dos espetos. Imediatamente, o consumidor entrou em contato com a loja, explicou o erro na entrega do produto e solicitou sua substituição ou o ressarcimento do valor pago, o que lhe foi negado. Romeu então propôs ação de obrigação de fazer. Nesse caso, à luz do Código de Defesa do Consumidor, é correto afirmar que se trata de:;"(A) vício de qualidade do produto, tendo havido a decadência, que deve ser alegada pela parte que se beneficia, sob pena de preclusão, não podendo ser conhecida de ofício; | (B) fato do produto, sendo de três anos o prazo prescricional para exercer a pretensão em juízo com o objetivo de ressarcimento do valor pago ou de efetuação da troca do produto; | (C) vício oculto que somente ficou evidenciado para o consumidor quatro meses após a aquisição, iniciando-se daí a contagem do prazo decadencial; | (D) vício de qualidade do produto, e ocorreu decadência, uma vez que a reclamação junto à fornecedora foi feita quatro meses após a aquisição e o recebimento do produto; | (E) inexistência de fato ou de vício de qualidade do produto, tendo havido erro no procedimento de entrega, afastando-se o fenômeno da decadência. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 10";DIREITO CIVIL;Direito do consumidor. Consumidor. Fornecedor. Direitos básicos do consumidor. Qualidade de produtos e serviços. Prevenção e reparação dos danos. Defesa do consumidor em juízo.;2;0.48;groq;alta
TJAP22-31;Vera ingressou com ação judicial buscando tutela reparatória por danos extrapatrimoniais em face da distribuidora de gêneros alimentícios derivados de aves. A consumidora alega ter adquirido produto lacrado, refrigerado e dentro do prazo de validade, mas, ao chegar em casa e abrir a embalagem no momento de servir aos seus familiares, verificou que o produto estava impróprio para o consumo e com odor fétido. Imediatamente, a consumidora retornou ao local de compra, que alegou se tratar de produto em promoção por estar com o prazo de validade perto do vencimento, conforme explicado aos compradores no anúncio, sendo sabido pela consumidora que isso não permitiria a troca. Diante desse caso, é correto afirmar que:;"(A) foi comercializado um produto impróprio para o consumo, o que gera, in re ipsa, a obrigação de reparação pelos danos extrapatrimoniais suportados pela consumidora; | (B) inexistiu acidente de consumo na medida em que o produto defeituoso não chegou a ser ingerido e, portanto, não acarretou risco à saúde da consumidora; | (C) o vício do produto se evidencia pelo acidente de consumo em potencial, sendo os familiares de Vera consumidores por equiparação; | (D) a informação prévia e clara prestada pelo fornecedor acerca da impossibilidade de troca do produto em promoção e a vantagem de abatimento no preço afastam a obrigação de troca ou devolução do valor pago; | (E) a responsabilidade pelo fato do produto gera danos extrapatrimoniais in re ipsa, ainda que o produto não tenha sido consumido por Vera e seus familiares, considerados consumidores por equiparação.";DIREITO CIVIL;Direito do consumidor. Consumidor. Fornecedor. Direitos básicos do consumidor. Qualidade de produtos e serviços. Prevenção e reparação dos danos. Defesa do consumidor em juízo.;1;0.52;groq;alta
TJAP22-32;Regina ingressou com ação judicial em face da montadora de automóveis (primeira ré) e da revendedora (segunda ré), alegando que sofreu prejuízo na compra de um veículo. A consumidora narra que, em outubro de 2020, adquiriu o veículo anunciado na mídia como sendo o lançamento do modelo na versão ano 2021, o que foi confirmado pelo vendedor que a atendeu na concessionária. No mês seguinte, a montadora lançou novamente aquele modelo denominando versão ano 2021, entretanto, contando com mais acessórios, o que impactou na desvalorização do carro de Regina. Diante dessa situação, é correto afirmar que:;"(A) há abusividade na prática comercial que induziu Regina a erro, ao frustrar sua legítima expectativa e quebrar a boa-fé objetiva; a responsabilidade solidária da montadora e da revendedora está caracterizada pelo vício decorrente da disparidade com indicações constantes na mensagem publicitária e informadas à consumidora; | (B) resta caracterizada a publicidade abusiva ao induzir a erro a consumidora no que dizia respeito às características, qualidade, bem como outros dados sobre o veículo; a segunda ré não possui legitimidade passiva, uma vez que é apenas a revendedora de automóveis, não tendo responsabilidade pela propaganda; | (C) o ato de não informar que seria lançada outra versão com acessórios diversos constitui omissão, o que não caracteriza propaganda enganosa que ocorre por ato comissivo; a responsabilidade pelo fato do produto decorrente da propaganda enganosa lançada nas concessionárias é da montadora; | (D) há prática comercial abusiva e propaganda enganosa, violando os deveres de informações claras, ostensivas, precisas e corretas, frustrando a legítima expectativa da consumidora e violando os deveres de boa-fé objetiva; a responsabilidade do comerciante é subsidiária em caso de produto que se tornou defeituoso em razão da qualidade inferior que impactou na diminuição do valor; | (E) inexistiu publicidade enganosa ou defeito na prestação do serviço, uma vez que não se considera defeituoso o produto pelo fato de outro de melhor qualidade ter sido colocado no mercado; a responsabilidade subsidiária da revendedora em relação à montadora está caracterizada pelo vício decorrente da disparidade com indicações constantes na mensagem publicitária. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 11";DIREITO CIVIL;Direito do consumidor. Consumidor. Fornecedor. Direitos básicos do consumidor. Qualidade de produtos e serviços. Prevenção e reparação dos danos. Defesa do consumidor em juízo.;3;0.50;groq;alta
TJAP22-33;Osmar ingressou com ação judicial em face da fabricante do telefone celular, alegando que houve problemas ainda no período de vigência da garantia legal. No momento da contestação, a parte ré apresentou o laudo realizado pela assistência técnica autorizada da fabricante, indicando que o problema apresentado no aparelho celular se relaciona ao mau uso, documento esse acompanhado por fotografia que demonstra marcas compatíveis com choque físico no bem, ao passo que Osmar requereu a inversão do ônus da prova. A respeito de tal situação, é correto afirmar que:;"(A) deve ser aplicada a inversão do ônus da prova em razão de a previsão ope legis ser direito básico do consumidor para a salvaguarda da facilitação da defesa de seus direitos; | (B) o laudo técnico confeccionado pela assistência técnica autorizada da ré não pode ser considerado imparcial e idôneo para ser utilizado, em detrimento das garantias asseguradas ao consumidor, devendo ser julgado procedente o pedido de Osmar se somente essa for a prova constituída nos autos; | (C) embora se trate de relação de consumo, com inversão do ônus da prova como um direito básico garantido ao consumidor, não está dispensado o dever da parte autora de fazer prova quanto ao fato constitutivo do seu direito; | (D) não pode ser afastada a responsabilidade da demandada por se tratar de garantia legal, que é obrigatória e inegociável, ainda que seja demonstrada a culpa exclusiva do consumidor, situação que somente excluiria responsabilidade em caso de fato do produto; | (E) deve ser julgado procedente o pedido de Osmar a partir de suas alegações, uma vez que a justificativa de suposto mau uso do produto por choque físico representa risco que razoavelmente se espera no manuseio de aparelhos celulares, não sendo capaz de afastar a garantia legal obrigatória.";DIREITO CIVIL;Direito do consumidor. Consumidor. Fornecedor. Direitos básicos do consumidor. Qualidade de produtos e serviços. Prevenção e reparação dos danos. Defesa do consumidor em juízo.;2;0.55;groq;alta
TJAP22-34;A consumidora Samantha propôs incidente de desconsideração de personalidade jurídica em face de determinada loja de bijuterias construída na forma de sociedade limitada. Narra a autora que, na fase de cumprimento de sentença que condenou a empresa a pagar indenização à consumidora, não logrou êxito em localizar bens para satisfazer a execução, embora diversas tenham sido as tentativas para tanto. Samantha alega ainda que, na fase cognitiva, a fornecedora foi declarada revel e sequer compareceu às audiências designadas pelo Juízo. A respeito disso, é correto afirmar que o pedido deve ser julgado:;"(A) improcedente, pois a revelia e a ausência de participação no processo judicial não sugerem abuso da personalidade jurídica, requisito para o deferimento do requerido; | (B) improcedente, pois, para a desconsideração requerida, deverá restar efetivada falência, estado de insolvência, encerramento ou inatividade da pessoa jurídica provocados por má administração; | (C) procedente, ainda que o Código de Defesa do Consumidor não preveja a desconsideração da personalidade jurídica, quando caracterizado abuso da personalidade jurídica evidenciado no caso pleiteado por Samantha; | (D) procedente, à luz da aplicação da teoria menor da desconsideração da personalidade jurídica, prevista no Código de Defesa do Consumidor; | (E) improcedente, pois, ainda que prevista no Código de Defesa do Consumidor, a desconsideração requerida não pode ser aplicada de forma a implicar a perda da finalidade de responsabilidade limitada das sociedades, exceto no uso fraudulento da personalidade jurídica. Direito da Criança e do Adolescente";DIREITO CIVIL;Pessoas jurídicas. Personalidade jurídica da pessoa jurídica. Desconsideração.;1;0.57;groq;alta
TJAP22-35;Jennifer dá à luz uma criança do sexo masculino e, após o parto, ela e o seu companheiro informam à assistente social do Hospital das Clínicas que desejam entregar a criança em adoção. Gisele, enfermeira, se oferece para adotar a criança e a leva para a sua casa, com a anuência de Jennifer, do genitor e da família extensa. O caso é noticiado pelo hospital ao Conselho Tutelar e ao Ministério Público, que propõe ação com pedido cautelar de busca e apreensão da criança. O magistrado indefere o pedido, entendendo que é cabível a adoção consensual nessa hipótese. Considerando o disposto na Lei nº 8.069/1990 (ECA), a decisão está:;"(A) correta, pois a entrega da criança a Gisele conta com a anuência dos pais e da família extensa, havendo previsão legal no ECA para a realização da adoção consensual nessa hipótese; | (B) incorreta, pois a criança não se encontra disponível para adoção, sendo necessária a propositura de ação de destituição familiar em face dos pais; | (C) correta, pois o consentimento dos pais afasta a necessidade de consulta de habilitados no Sistema Nacional de Adoção e Acolhimento (SNA); | (D) incorreta, pois a hipótese narrada não se enquadra nas exceções à adoção por pessoa não cadastrada previamente no Sistema Nacional de Adoção e Acolhimento (SNA); | (E) correta, pois o Sistema Nacional de Adoção e Acolhimento (SNA) é cadastro de habilitados à adoção, não havendo obrigatoriedade legal de observância da ordem cronológica para deferimento do pedido de adoção.";DIREITO CIVIL;Aspectos gerais do direito de família e das sucessões. Casamento. União estável. Repercussões previdenciárias. Relações de parentesco. Regime de bens entre os cônjuges e os companheiros. Bem de família. Tutela. Curatela. Sucessão em geral: sucessão legítima e testamentária.;1;0.53;groq;alta
TJAP22-36;Stephany, criança de 9 anos, aparece na escola com hematomas pelo corpo e corrimento vaginal e revela para sua professora do ensino fundamental, Carolina, que sofreu abuso sexual praticado pelo seu padrasto, Ernesto. Após conversar com a mãe e o padrasto, que desmentem a criança, Carolina relata os fatos à diretora da escola, Margarida, que se abstém de noticiar a violação de direitos ao órgão com atribuição. Considerando o disposto na Lei nº 8.069/1990 (ECA), é correto afirmar que a diretora:;"(A) praticou crime previsto no ECA e deveria ter noticiado o fato ao juiz da Infância e Juventude, conforme previsão legal; | (B) praticou infração administrativa prevista no ECA e deveria ter noticiado o fato ao Conselho Tutelar, conforme previsão legal; | (C) praticou crime previsto no ECA e deveria ter noticiado o fato ao promotor de justiça, conforme previsão legal; | (D) praticou infração administrativa prevista no ECA e deveria ter noticiado o fato ao Conselho Municipal de Direitos da Criança e do Adolescente, conforme previsão legal; | (E) não praticou crime ou infração administrativa previstos no ECA, na medida em que, após a apuração dos fatos, não restou comprovado o abuso. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 12";DIREITO PENAL;"Dos crimes em espécie. Dos crimes previstos na parte especial do Código Penal: dos crimes contra a pessoa; dos crimes contra o patrimônio; dos crimes contra a organização do trabalho; dos crimes contra a dignidade sexual; dos crimes contra a fé pública; dos crimes contra a administração pública e administração da justiça. Crimes previstos nas Leis ns. 7.716/89, 12.288/2010 e 13.869/ 2019.";1;0.47;groq;alta
TJAP22-37;Joseane, adolescente de 12 anos, é vítima de estupro praticado por seu padrasto, Francisco. Após análise do inquérito policial, o Ministério Público oferece denúncia em face de Francisco, requerendo, em sede de produção antecipada de prova, o depoimento especial da adolescente. Na data da audiência, a profissional especializada que participa do ato processual na sala de depoimento especial lê a denúncia para a adolescente, questionando-a sobre a veracidade dos fatos. Joseane informa à profissional especializada que se sente intimidada ao saber que o padrasto está presente na sala de audiências e, em virtude disso, permanece calada. O magistrado suspende o ato processual e Joseane manifesta o desejo de prestar depoimento diretamente ao juiz, sem a presença do réu na sala de audiências. Considerando os fatos narrados e o disposto na Lei nº 13.431/2017, é correto afirmar que:;"(A) o depoimento especial seguirá o rito cautelar de antecipação de prova somente nos casos de crianças com idade inferior a 7 anos, não sendo aplicável à adolescente Joseane; | (B) a leitura da denúncia e de outras peças processuais para a adolescente pode ser autorizada pelo magistrado, ouvido o Ministério Público; | (C) a profissional especializada deverá comunicar ao juiz que a presença do réu pode prejudicar o depoimento especial, sendo possível que o magistrado o afaste; | (D) é vedado pela Lei nº 13.431/2017 que a adolescente preste depoimento diretamente ao magistrado, se assim entender, razão pela qual o requerimento deve ser indeferido; | (E) a Lei nº 13.431/2017 não autoriza o afastamento do réu da sala de audiências em qualquer hipótese, em observância aos princípios do contraditório e da ampla defesa.";DIREITO PROCESSUAL CIVIL;Tutela provisória: conceito, função, espécies. Tutela cautelar e satisfativa (antecipada).;5;0.49;groq;alta
TJAP22-39;Wesley, adolescente de 16 anos, pratica ato infracional análogo a crime de roubo com emprego de arma de fogo. Concluída a instrução processual, o juiz da Vara da Infância e Juventude profere sentença aplicando a medida socioeducativa de internação, pelo prazo de seis meses. Decorridos três meses do início de cumprimento da medida, a Direção do programa de atendimento requer a substituição por semiliberdade, com fulcro na avaliação contida no plano individual de atendimento, que noticia o adequado cumprimento da medida de internação pelo adolescente. O promotor de justiça manifesta-se contrariamente ao pedido, entendendo que a gravidade do ato infracional e os antecedentes do adolescente impedem a substituição da medida, antes do prazo de reavaliação obrigatória, independentemente do parecer favorável no plano individualizado de atendimento. Considerando o disposto na Lei nº 12.594/2012, é correto afirmar que:;"(A) a reavaliação da manutenção, da substituição ou da suspensão das medidas de privação da liberdade somente pode ser solicitada após o decurso do prazo de seis meses; | (B) a gravidade do ato infracional e os antecedentes são fatores que, por si só, impedem a substituição da medida por outra menos grave; | (C) a Direção do programa de atendimento não poderá solicitar a reavaliação da medida a qualquer tempo, sendo legitimados o defensor, o Ministério Público, ou o adolescente e seus pais ou responsável; | (D) o desempenho adequado do adolescente com base no seu plano individual de atendimento não justifica a reavaliação da medida antes do prazo mínimo de seis meses; | (E) a autoridade judiciária poderá indeferir o pedido de reavaliação da manutenção, da substituição ou da suspensão das medidas, se entender insuficiente a motivação. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 13";DIREITO PENAL;Iter Criminis. Consumação e tentativa. Crime impossível. Desistência voluntária e arrependimento eficaz. Arrependimento posterior.;2;0.52;groq;alta
